,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,ACMH,ACMH_ATTRIBUTES,ACSH,ACSH_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWND,AWND_ATTRIBUTES,FMTM,FMTM_ATTRIBUTES,FRGT,FRGT_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT10,WT10_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT15,WT15_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT17,WT17_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT21,WT21_ATTRIBUTES,WT22,WT22_ATTRIBUTES,WV01,WV01_ATTRIBUTES,WV03,WV03_ATTRIBUTES,WV20,WV20_ATTRIBUTES
30865,USW00093721,2024-01-01,39.17329,-76.68408,42.0,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8.0,",,W,2400",0.0,",,W",0.0,",,W",72.0,",,W",28.0,",,W",,,,,11.0,",,W",10169.0,",,W",10108.0,",,W",33.0,",,W",21.0,",,W",,,,,,,,,77.0,",,W",65.0,",,W",86.0,",,W",53.0,"H,,S",,,,,,,320.0,",,W",330.0,",,W",,,,,,,,,63.0,",,W",89.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30866,USW00093721,2024-01-02,39.17329,-76.68408,42.0,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0.0,",,W,2400",0.0,",,W",0.0,",,W",72.0,",,W",0.0,",,W",,,,,-28.0,",,W",10196.0,",,W",10139.0,",,W",11.0,",,W",36.0,",,W",,,,,,,,,61.0,",,W",46.0,",,W",82.0,",,W",46.0,"H,,S",,,,,,,300.0,",,W",330.0,",,W",,,,,,,,,81.0,",,W",116.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30867,USW00093721,2024-01-03,39.17329,-76.68408,42.0,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0.0,",,W,2400",0.0,",,W",0.0,",,W",89.0,",,W",-27.0,",,W",,,,,-33.0,",,W",10176.0,",,W",10119.0,",,W",11.0,",,W",14.0,",,W",,,,,,,,,63.0,",,W",42.0,",,W",82.0,",,W",28.0,"H,,S",,,,,,,290.0,",,W",140.0,",,W",,,,,,,,,40.0,",,W",58.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30868,USW00093721,2024-01-04,39.17329,-76.68408,42.0,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0.0,",,W,2400",0.0,",,W",0.0,",,W",72.0,",,W",-10.0,",,W",,,,,-44.0,",,W",10186.0,",,W",10119.0,",,W",6.0,",,W",34.0,",,W",,,,,,,,,57.0,",,W",38.0,",,W",73.0,",,W",44.0,"H,,S",,,,,,,310.0,",,W",290.0,",,W",,,,,,,,,98.0,",,W",130.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30869,USW00093721,2024-01-05,39.17329,-76.68408,42.0,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0.0,",,W,2400",0.0,",,W",0.0,",,W",56.0,",,W",-55.0,",,W",,,,,-78.0,",,W",10264.0,",,W",10207.0,",,W",-28.0,",,W",11.0,",,W",,,,,,,,,58.0,",,W",38.0,",,W",75.0,",,W",1.0,"H,,S",,,,,,,260.0,",,W",310.0,",,W",,,,,,,,,45.0,",,W",85.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30870,USW00093721,2024-01-06,39.17329,-76.68408,42.0,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",305.0,",,W,2400",0.0,"T,,W",0.0,",,W",39.0,",,W",-32.0,",,W",,,,,-6.0,",,W",10129.0,",,W",10091.0,",,W",6.0,",,W",35.0,",,W",,,,,,,,,84.0,",,W",69.0,",,W",93.0,",,W",5.0,"H,,S",,,,,,,60.0,",,W",40.0,",,W",,,,,,,,,98.0,",,W",152.0,",,W",,,,,1.0,",,W",,,,,1.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30871,USW00093721,2024-01-07,39.17329,-76.68408,42.0,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0.0,",,W,2400",0.0,",,W",0.0,",,W",106.0,",,W",17.0,",,W",,,,,0.0,",,W",10088.0,",,W",10014.0,",,W",33.0,",,W",49.0,",,W",,,,,,,,,70.0,",,W",54.0,",,W",93.0,",,W",48.0,"H,,S",,,,,,,290.0,",,W",280.0,",,W",,,,,,,,,125.0,",,W",170.0,",,W",,,,,1.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30872,USW00093721,2024-01-08,39.17329,-76.68408,42.0,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0.0,",,W,2400",0.0,",,W",0.0,",,W",100.0,",,W",-16.0,",,W",,,,,-28.0,",,W",10278.0,",,W",10213.0,",,W",22.0,",,W",29.0,",,W",,,,,,,,,58.0,",,W",39.0,",,W",78.0,",,W",61.0,"H,,S",,,,,,,10.0,",,W",340.0,",,W",,,,,,,,,76.0,",,W",116.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30873,USW00093721,2024-01-09,39.17329,-76.68408,42.0,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",665.0,",,W,2400",0.0,",,W",0.0,",,W",150.0,",,W",6.0,",,W",,,,,67.0,",,W",10091.0,",,W",9976.0,",,W",72.0,",,W",53.0,",,W",,,,,,,,,88.0,",,W",78.0,",,W",93.0,",,W",55.0,"H,,S",,,,,,,140.0,",,W",150.0,",,W",,,,,,,,,143.0,",,W",215.0,",,W",,,,,1.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30874,USW00093721,2024-01-10,39.17329,-76.68408,42.0,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0.0,"T,,W,2400",0.0,",,W",0.0,",,W",150.0,",,W",56.0,",,W",,,,,0.0,",,W",9976.0,",,W",9892.0,",,W",50.0,",,W",69.0,",,W",,,,,,,,,52.0,",,W",41.0,",,W",87.0,",,W",109.0,"H,,S",,,,,,,270.0,",,W",260.0,",,W",,,,,,,,,139.0,",,W",224.0,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
